Ticker,Report Date,Price,Volume,Market_Cap,EV,6M_Price_growth,1Y_Price_growth,2Y_Price_growth,3Y_Price_growth,Revenue,Net Income,FCF,FCF_per_share,6M_FCFps_growth,1Y_FCFps_growth,2Y_FCFps_growth,3Y_FCFps_growth,6M_NetIncome_growth,1Y_NetIncome_growth,2Y_NetIncome_growth,3Y_NetIncome_growth,6M_Volume_growth,1Y_Volume_growth,2Y_Volume_growth,3Y_Volume_growth,6M_Revenue_growth,1Y_Revenue_growth,2Y_Revenue_growth,3Y_Revenue_growth
A,2019-10-31,72.910,970472.000,22529190000.000,23554190000.000,,,,,1367000000.000,194000000.000,284000000.000,0.919,,,,,,,,,,,,,,,,
A,2020-01-31,79.630,2850446.000,24685300000.000,25921300000.000,,,,,1357000000.000,197000000.000,-93000000.000,-0.300,,,,,,,,,,,,,,,,
A,2020-04-30,74.120,1795163.000,22903080000.000,24067080000.000,0.017,,,,1238000000.000,101000000.000,280000000.000,0.906,-0.014,,,,-0.479,,,,0.850,,,,-0.094,,,
A,2020-07-31,93.330,1551785.000,28838970000.000,29803970000.000,0.172,,,,1261000000.000,199000000.000,266000000.000,0.861,-3.870,,,,0.010,,,,-0.456,,,,-0.071,,,
A,2020-10-31,102.140,1572506.000,31459120000.000,32377120000.000,0.378,0.401,,,1483000000.000,222000000.000,350000000.000,1.136,0.254,0.236,,,1.198,0.144,,,-0.124,0.620,,,0.198,0.085,,
A,2021-01-31,117.470,1292732.000,35945820000.000,37115820000.000,0.259,0.475,,,1548000000.000,288000000.000,197000000.000,0.644,-0.252,-3.147,,,0.447,0.462,,,-0.167,-0.546,,,0.228,0.141,,
A,2021-04-30,130.110,1514162.000,39813660000.000,41365660000.000,0.274,0.755,,,1525000000.000,216000000.000,441000000.000,1.441,0.268,0.591,,,-0.027,1.139,,,-0.037,-0.157,,,0.028,0.232,,
A,2021-07-31,149.230,1438321.000,45216690000.000,46646690000.000,0.270,0.599,,,1586000000.000,264000000.000,280000000.000,0.924,0.435,0.073,,,-0.083,0.327,,,0.113,-0.073,,,0.025,0.258,,
A,2021-10-31,153.310,1326900.000,46759550000.000,47913550000.000,0.178,0.501,1.103,,1660000000.000,442000000.000,380000000.000,1.246,-0.135,0.097,0.356,,1.046,0.991,1.278,,-0.124,-0.156,0.367,,0.089,0.119,0.214,
A,2022-01-31,136.180,1702950.000,40990180000.000,42562180000.000,-0.087,0.159,0.710,,1674000000.000,283000000.000,180000000.000,0.598,-0.353,-0.071,-2.993,,0.072,-0.017,0.437,,0.184,0.317,-0.403,,0.055,0.081,0.234,
A,2022-04-30,117.050,1756159.000,34997950000.000,36695950000.000,-0.237,-0.100,0.579,,1607000000.000,274000000.000,219000000.000,0.732,-0.413,-0.492,-0.192,,-0.380,0.269,1.713,,0.324,0.160,-0.022,,-0.032,0.054,0.298,
A,2022-07-31,130.850,1081837.000,38993300000.000,40709300000.000,-0.039,-0.123,0.402,,1718000000.000,329000000.000,244000000.000,0.819,0.370,-0.114,-0.049,,0.163,0.246,0.653,,-0.365,-0.248,-0.303,,0.026,0.083,0.362,
A,2022-10-31,135.900,1307634.000,43216200000.000,44932200000.000,0.161,-0.114,0.331,0.864,1849000000.000,368000000.000,378000000.000,1.189,0.624,-0.046,0.047,0.294,0.343,-0.167,0.658,0.897,-0.255,-0.015,-0.168,0.347,0.151,0.114,0.247,0.353
A,2023-01-31,149.610,1995389.000,44284560000.000,46005560000.000,0.143,0.099,0.274,0.879,1756000000.000,352000000.000,220000000.000,0.743,-0.093,0.242,0.154,-3.477,0.070,0.244,0.222,0.787,0.844,0.172,0.544,-0.300,0.022,0.049,0.134,0.294
A,2023-04-30,134.090,1012903.000,39690640000.000,41248640000.000,-0.013,0.146,0.031,0.809,1717000000.000,302000000.000,341000000.000,1.152,-0.031,0.574,-0.201,0.272,-0.179,0.102,0.398,1.990,-0.225,-0.423,-0.331,-0.436,-0.071,0.068,0.126,0.387
A,2023-07-31,120.220,2376273.000,35344680000.000,36804680000.000,-0.196,-0.081,-0.194,0.288,1672000000.000,111000000.000,481000000.000,1.636,1.202,0.998,0.771,0.900,-0.685,-0.663,-0.580,-0.442,0.191,1.197,0.652,0.531,-0.048,-0.027,0.054,0.326
